id;code;name;cargo_class_value
1260;462091;Изделия из пластмасс, не поименованные в алфавите;3
1261;261203;Изделия из слюды клапаны, отражатели, пластины, пластинки, шайбы, щеткодержатели и др.;3
1262;661156;Изделия из стекла для комплектации электроосветительной арматуры;3
1263;661052;Изделия из стекла кварцевого;3
1264;660007;ИЗДЕЛИЯ ИЗ СТЕКЛА, ФАРФОРА И ФАЯНСА, КРОМЕ САНТЕХОБОРУДОВАНИЯ ИЗ ПОЛУФАРФОРА И ФАЯНСА;3
1265;641114;Изделия из стекляруса;3
1266;517078;Изделия из табака, не поименованные в алфавите;3
1267;685061;Изделия из травы (в том числе из тростника);3
1268;462104;Изделия из фенопласта;3
1269;416137;Изделия из цветных металлов и их сплавов, не поименованные в алфавите;3
1270;416002;Изделия из цветных металлов производственного назначения;3
1271;462142;Изделия из целлулоида;3
1272;411009;Изделия из черных металлов производственного назначения;3
1273;411155;Изделия из черных металлов производственного назначения, не поименованные в алфавите;3
1274;641129;Изделия из янтаря;3
1275;261218;Изделия изоляционные, кроме асбестовых, не поименованные в алфавите;3
1276;417005;Изделия кабельные;3
1277;641133;Изделия карболитовые галантерейные;3
1278;266086;Изделия карборундовые, не поименованные в алфавите;3
1279;452096;Изделия каучуковые новые, не поименованные в алфавите;3
1280;692084;Изделия каучуковые старые;3
1281;303069;Изделия кислотоупорные и огнеупорные, не поименованные в алфавите;2
1282;303073;Изделия кислотоупорные неметаллические;2
1283;635024;Изделия ковровые: хлопчатобумажные, шерстяные, полушерстяные, шелковые и др., не поименованные в алфавите;3
1284;653060;Изделия кожаные новые, кроме обуви, одежды и галантереи;3
1285;692099;Изделия кожаные старые;3
1286;562020;Изделия колбасные;2
1287;562001;Изделия колбасные, копчености и полуфабрикаты мясные;2
1288;513005;Изделия кондитерские мучные;2
1289;513039;Изделия кондитерские мучные, не поименованные в алфавите;2
1290;514008;Изделия кондитерские сахаристые, кроме мучных. Мед;2
1291;514031;Изделия кондитерские сахаристые, не поименованные в алфавите;2
1292;641148;Изделия костяные, роговые;3
1293;623008;Изделия крученые, кроме пряжи и ниток;3
1294;623027;Изделия крученые, не поименованные в алфавите;3
1295;264184;Изделия ксилолитовые, не поименованные в алфавите;1
1296;572018;Изделия кулинарные рыбные;2
1297;264199;Изделия литоидовые, не поименованные в алфавите;1
1298;303092;Изделия магнезитовые;2
1299;303088;Изделия магнезито-хромитовые (перик-лазо-хромитовые);2
1300;661067;Изделия майоликовые;3
1301;512002;Изделия макаронные;2
1302;512036;Изделия макаронные, не поименованные в алфавите;2
1303;410006;ИЗДЕЛИЯ МЕТАЛЛИЧЕСКИЕ;3
1304;415052;Изделия металлические бытового назначения, не поименованные в алфавите;3
1305;641152;Изделия мишурные;3
1306;264201;Изделия мраморные, строительные не поименованные в алфавите;1
1307;303105;Изделия огнеупорные карбидкремниевые;2
1308;641167;Изделия перламутровые и ракушечные;3
1309;633048;Изделия платочно-шарфовые;3
1310;641171;Изделия позументные;3
1311;671073;Изделия полиграфические, не поименованные в алфавите;2
1312;462119;Изделия поролоновые (пенополиуретановые);3
1313;261222;Изделия пробковые изоляционные, не поименованные в алфавите;3
1314;125136;Изделия пробковые, не поименованные в алфавите;3
1315;416144;Изделия проволочные из цветных металлов;3
1316;411163;Изделия проволочные из черных металлов;3
1317;692101;Изделия резиновые старые;3
1318;453001;Изделия резинотехнические, бывшие в употреблении, восстановленные;3
1319;452102;Изделия резинотехнические, не поименованные в алфавите;3
1320;133217;Изделия санитарно-гигиенические разового использования из бумаги, ваты;3
1321;268043;Изделия санитарные из полуфарфора и фаянса, не поименованные в алфавите;3
1322;268005;Изделия санитарные керамические;3
1323;641186;Изделия серебряные, не поименованные в алфавите;3
1324;261237;Изделия совелитовые, не поименованные в алфавите;3
1325;633052;Изделия спортивные трикотажные;3
1326;661118;Изделия стеклянные и фарфоровые для электротехники, не поименованные в алфавите;3
1327;661071;Изделия стеклянные, не поименованные в алфавите;3
1328;264216;Изделия строительные из камня искусственного, не поименованные в алфавите;1
1329;264220;Изделия строительные из камня природного, не поименованные в алфавите;1
1330;511014;Изделия сухарные (сухари, гренки, хрустящие хлебцы);2
1331;517006;Изделия табачно-махорочные;3
1332;462123;Изделия текстолитовые, не поименнованные в алфавите;3
1333;261241;Изделия тепло- и звукоизоляционные из стекловолокна;3
1334;261256;Изделия теплоизоляционные перлитовые;3
1335;264235;Изделия терракотовые, не поимено-ванные в алфавите;1
1336;633001;Изделия трикотажные;3
